# BIPV/PV Criteria Mapping Framework
# 21 GBRS × 12 Technical Dimensions
# 
# For each cell: 
#   0 = Not mentioned at all
#   1 = Mentioned indirectly (e.g., "renewable energy" without specifying PV)
#   2 = Mentioned explicitly (e.g., "solar PV", "photovoltaic")
#   3 = Dedicated credit/criteria with specific requirements
#
# Plus metadata columns: credit_id, category, points, requirement_type, exact_text

GBRS,Dim,Score,Credit_ID,Category,Points_Available,Total_System_Points,Requirement_Type,Exact_Language,Notes
HQE,I_Carbon_Accounting,2,Energy themes,Energy,varies,100,Performance,"RE2020 BBIO indicator; lifecycle carbon (Ic); carbon intensity targets","RE2020 lifecycle carbon approach; BBIO measures bioclimatic need; carbon intensity targets for new buildings."
HQE,J_EV_Storage,1,Transport,Transport,varies,100,Prescriptive,"French regulations require EV charging provisions for new buildings","Mandatory EV provisions under French code; no explicit PV-EV synergy in HQE scheme."
HQE,K_Design_Integration,1,Management,Management,varies,100,Process,"energy study required as part of building permit; includes RE assessment","French building permit process requires energy study (RE2020 calculation) including RE assessment."
HQE,L_Innovation,1,Innovation,Innovation,varies,100,Performance,"innovation track available; not PV-specific","HQE innovation track available but no dedicated BIPV innovation pathway."
EDGE,A_Roof_PV,2,Energy,Energy,threshold,N/A,Performance,"renewable energy reduces energy consumption toward 20% savings target","PV explicitly contributes to 20% minimum energy savings threshold; one of several qualifying measures."
EDGE,B_Facade_PV,0,,,,,,,"No facade PV pathway; simplified approach does not distinguish integration type"
EDGE,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria; simplified certification"
EDGE,D_Shading_PV,0,,,,,,,"No PV shading criteria; simplified energy model"
EDGE,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
EDGE,F_Thermal_Envelope,2,Energy,Energy,threshold,N/A,Performance,"envelope improvements contribute to 20% energy savings","Thermal envelope improvements are primary pathway to 20% savings; no BIPV-envelope integration guidance."
EDGE,G_Daylighting_Visual,1,Energy,Energy,,N/A,Performance,"window-to-wall ratio; glazing performance","Basic glazing requirements for energy efficiency; no daylighting quality credit."
EDGE,H_Materials_LCA,0,,,,,,,"No LCA requirement; simplified certification for emerging markets"
EDGE,I_Carbon_Accounting,1,Energy,Energy,,N/A,Performance,"20% energy savings threshold implies carbon reduction","Energy savings imply carbon reduction but no explicit carbon accounting framework."
EDGE,J_EV_Storage,0,,,,,,,"No EV/storage criteria; simplified approach"
EDGE,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study; self-assessment approach"
EDGE,L_Innovation,0,,,,,,,"No innovation pathway; binary certification (pass/fail at 20% threshold)"
GRIHA,A_Roof_PV,2,C8,Energy Optimization,5,100,Performance,"Ensure installation of on-site and off-site RE system. All renewable energy systems recognized by MNRE can be accepted. Renewable energy systems: solar photovoltaic panels (Criterion 28).","Criterion 8: mandatory 5% RE for daytime-occupancy buildings; max 5 pts at 25%. Solar PV in Criterion 28. BIPV in abbreviations list (p.17)."
GRIHA,B_Facade_PV,1,C8,Energy Optimization,5,100,Performance,"BIPV = Building-Integrated Photovoltaics (abbreviations list p.17)","BIPV formally defined in abbreviations; not in Criterion 8 scoring text. MNRE-recognized RE only."
GRIHA,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
GRIHA,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
GRIHA,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
GRIHA,F_Thermal_Envelope,2,C1-C3,Site Planning & Design,,100,Prescriptive,"building envelope optimization; U-values and SHGC requirements","Criteria 1-3 address site planning and envelope optimization; thermal performance standards."
GRIHA,G_Daylighting_Visual,2,C12-C13,Indoor Environment,,100,Performance,"daylighting; thermal comfort requirements","Criteria 12-13: daylighting and thermal comfort; standard IEQ requirements. No PV glazing guidance."
GRIHA,H_Materials_LCA,1,C19-C23,Resource Efficiency,,100,Performance,"resource efficiency; materials considerations","Basic lifecycle awareness in resource efficiency section; PV not specifically addressed."
GRIHA,I_Carbon_Accounting,1,C8,Energy Optimization,,100,Performance,"energy performance; GHG reduction pathway","Energy performance criteria imply carbon reduction; no dedicated carbon accounting."
GRIHA,J_EV_Storage,0,,,,,,,"No EV/storage criteria"
GRIHA,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study; Criterion 8 is outcome-based"
GRIHA,L_Innovation,2,C30,Innovation,5,100,Performance,"net-positive energy building; innovation for exceeding energy targets","Criterion 30: net-positive energy buildings earn innovation points; implicit BIPV incentive for maximising generation."
LOTUS,A_Roof_PV,2,E-6,Energy,2,55,Performance,"Valid forms of renewable energy include: Photovoltaic (PV) & Solar Thermal (including solar water heating)","E-6: PV explicitly listed as valid renewable form; 1 pt at 0.5%, 2 pts at 1.5% of building energy. Very modest targets."
LOTUS,B_Facade_PV,1,E-6,Energy,2,55,Performance,"on-site renewable energy sources","Generic RE credit; facade PV can contribute but no specific pathway or guidance."
LOTUS,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
LOTUS,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
LOTUS,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
LOTUS,F_Thermal_Envelope,2,E-1,Energy,,55,Performance,"energy performance; thermal requirements for tropical climate","Thermal requirements appropriate for Vietnamese tropical climate; envelope performance standards."
LOTUS,G_Daylighting_Visual,2,H credits,Health & Comfort,,55,Performance,"indoor environment quality; daylighting provisions","IEQ section with daylighting requirements; no PV glazing guidance."
LOTUS,H_Materials_LCA,1,M credits,Materials,,55,Performance,"materials management; basic lifecycle awareness","Basic materials credit with some lifecycle awareness; PV not specifically addressed."
LOTUS,I_Carbon_Accounting,1,E-1,Energy,,55,Performance,"energy reduction and carbon savings","Energy reduction implies carbon savings; no explicit carbon accounting framework."
LOTUS,J_EV_Storage,0,,,,,,,"No EV/storage provisions"
LOTUS,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
LOTUS,L_Innovation,0,,,,,,,"No specific innovation credit for renewable energy"
TREES,A_Roof_PV,2,EA2,Energy and Atmosphere,2,85,Performance,"Use on-site renewable energy systems such as solar power (solar cell, water heater), wind power, or bio fuel-based energy. Renewable energy systems may be sold back to the electricity grid.","EA2: solar cell explicitly named; grid export acknowledged. 1 pt at 0.5%, 2 pts at 1.5% of annual energy cost."
TREES,B_Facade_PV,1,EA2,Energy and Atmosphere,2,85,Performance,"on-site renewable energy systems","Generic RE; facade PV can contribute but no specific pathway or guidance."
TREES,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
TREES,D_Shading_PV,0,,,,,,,"No PV shading device criteria"
TREES,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
TREES,F_Thermal_Envelope,2,EA,Energy and Atmosphere,,85,Performance,"energy efficiency; thermal envelope requirements","Energy efficiency section with thermal performance requirements for Thai climate."
TREES,G_Daylighting_Visual,2,IEQ,Indoor Environmental Quality,,85,Performance,"daylight and visual comfort requirements","IEQ section with daylighting requirements; no PV glazing guidance."
TREES,H_Materials_LCA,1,MA,Materials,,85,Performance,"materials lifecycle considerations","Basic materials credits with some lifecycle awareness; PV not specifically addressed."
TREES,I_Carbon_Accounting,1,EA2,Energy and Atmosphere,,85,Performance,"energy cost reduction implies carbon savings","Energy cost reduction metrics imply carbon savings; no dedicated carbon accounting."
TREES,J_EV_Storage,0,,,,,,,"No EV/storage provisions"
TREES,K_Design_Integration,0,,,,,,,"No mandatory solar feasibility study"
TREES,L_Innovation,1,GI,Green Innovation,5,85,Performance,"Green Innovation section (GI 1-5); generic innovation track","5 innovation credits available; generic pathway that could reward novel BIPV integration."
