EID,Title,Year,Source title,Cited by,DOI,Topic_Category,GBRS_Mentioned,BIPV_Application,Key_Sentences
2-s2.0-85095999376,Analysis of the effect of passive measures on the energy consumption and zero-energy prospects of residential buildings in Pakistan,2021,Building Simulation,32,10.1007/s12273-020-0729-8,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Secondly, the prospect of net zero-energy building and reduced CO2 emissions are also studied. | It has been shown that building can achieve net-zero energy on an annual basis at every orientation and it can attain the status of nearly zero-energy building on a monthly basis."
2-s2.0-85127338630,Intelligent windows for electricity generation: A technologies review,2022,Building Simulation,41,10.1007/s12273-022-0895-y,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Buildings are responsible for over 40% of total primary energy consumption in the US and EU and therefore improving building energy efficiency has significant potential for obtaining net-zero energy buildings reducing energy consumption. | Windows as building components offer the opportunity of addressing these issues in buildings. | Building integration of photovoltaics permits building components such as semi-transparent façade, skylights and shading devices to be replaced with PV. | Much progress has been made in photovoltaic material science, where smart window development has evolved in areas such as semi-transparent PV, electrochromic and thermochromic materials, luminescent solar concentrator and the integration of each of the latter technologies to buildings, specifically windows."
2-s2.0-85130151912,"Comprehensive energy, economic, environmental assessment of a building integrated photovoltaic-thermoelectric system with battery storage for net zero energy building",2022,Building Simulation,77,10.1007/s12273-022-0904-1,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"To realize the goal of net zero energy building (NZEB), the integration of renewable energy and novel design of buildings is needed."
2-s2.0-85138385772,Thermal performance and evaluation of a novel stratified and mixed flexible transformation solar heat storage unit,2023,Building Simulation,7,10.1007/s12273-022-0930-z,Other,None mentioned,Not specified,
2-s2.0-85161828353,Comprehensive evaluation and analysis of a nearly zero-energy building heating system using a multi-source heat pump in severe cold region,2023,Building Simulation,27,10.1007/s12273-023-0990-8,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,The integrated application of multi-energy coupled technology in nearly zero-energy building (NZEB) is promising from the perspective of low-carbon development to achieve the goal of net zero energy.
2-s2.0-85169169181,Potential of contemporary earth-sheltered buildings to achieve Plus Energy status in various European climates during the heating season,2024,Building Simulation,3,10.1007/s12273-023-1061-x,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"The house is equipped with a ground source heat pump, geothermal vertical probes, floor heating panels, an energy recovery ventilator, and building-integrated photovoltaic panels installed on the exposed building wall."
2-s2.0-85172094983,Modeling and configuration optimization of the rooftop photovoltaic with electric-hydrogen-thermal hybrid storage system for zero-energy buildings: Consider a cumulative seasonal effect,2023,Building Simulation,41,10.1007/s12273-023-1066-5,Net-Zero / Zero-Energy Buildings,None mentioned,Rooftop PV,Rooftop photovoltaic (PV) systems are represented as projected technology to achieve net-zero energy building (NEZB).
2-s2.0-85204584253,Analysis of synergistic influence of multi-scale design parameters on nearly-zero energy office blocks performance based on architectural morphological classification and parametric modeling,2024,Building Simulation,4,10.1007/s12273-024-1156-z,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,
2-s2.0-85202705371,Simulation of a novel curved photovoltaic (PV) window improving the annual daylighting and building energy performance simultaneously,2024,Building Simulation,14,10.1007/s12273-024-1173-y,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Building integrated photovoltaic (BIPV) windows impact building performance by balancing daylighting availability, visual comfort, solar power generation, and building energy consumption."
2-s2.0-105000062171,An enhanced method for design and simulation of building integrated photovoltaic plants incorporating photovoltaic resource assessment,2025,Building Simulation,3,10.1007/s12273-025-1252-8,BIPV Technical Performance,None mentioned,Shading BIPV,"Building-integrated photovoltaics (BIPV) technology is an important means of reducing emissions and consumption. | However, the intricacy and complexity inherent in the design of BIPV systems, particularly in the context of complex urban environments, present a significant challenge to the advancement of BIPV technology."
2-s2.0-84882622469,Modelling sustainability: What are the factors that influence sustainability of organic fruit production systems in New Zealand?,2011,Organic Agriculture,4,10.1007/s13165-011-0005-4,Other,None mentioned,Not specified,
2-s2.0-105006715451,Toward energy systems within the planetary boundaries,2025,Ambio,2,10.1007/s13280-025-02197-7,Other,None mentioned,Not specified,
2-s2.0-85072080630,First onsite net zero energy green building of India,2020,International Journal of Environmental Science and Technology,15,10.1007/s13762-019-02514-0,Net-Zero / Zero-Energy Buildings,GRIHA,Rooftop PV,"The paper discusses the measures adopted to get five star green rating and details of onsite net zero energy building. | Central Public Works Department has constructed a net zero energy building for the Ministry of Environment, Forest and Climate Change, first of its kind in India, generating onsite solar power as per its total requirement. | To make net zero energy building, the demand was optimised by using energy-efficient materials and equipments and then providing rooftop solar power panels on courtyard, rooftop and extended cantilever mild steel structures. | To make the building energy-efficient, various green building features were adopted in this centrally air-conditioned building including geothermal heat exchange system."
2-s2.0-85076929301,Increasing thermal comfort of a net-zero energy building inhabitant by optimization of energy consumption,2020,International Journal of Environmental Science and Technology,12,10.1007/s13762-019-02603-0,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"A few studies have been conducted on thermal satisfaction of net-zero energy buildings prior to this date; one of the objectives of the present study is to draw a comparison between the thermal parameters for evaluation of thermal comfort of a net-zero energy building occupant. | The building in this study was first optimized for the target parameters of thermal comfort and energy consumption, and hence, a net-zero energy building was formed. | The findings of this study demonstrate that for reaching net-zero energy buildings, solar energy alone is not able to supply the energy consumption of buildings and other types of energy should also be used."
2-s2.0-85205249743,Multi-objective optimization of energy demand and net zero energy building design based on climatic conditions (Case study: Iran),2025,International Journal of Environmental Science and Technology,2,10.1007/s13762-024-06059-9,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Since buildings are the most significant part of energy demand in Iran, this research paper focuses on the optimization of energy consumption and the design of Net-zero Energy Buildings to reduce energy usage and greenhouse gas emissions in this sector."
2-s2.0-85218081317,Revealing how urban morphology at urban planning and design stage influence energy using urban building energy model,2025,International Journal of Environmental Science and Technology,4,10.1007/s13762-025-06384-7,Other,None mentioned,Not specified,
2-s2.0-85100088369,Net Zero Energy Building (NZEB) Design,2021,Journal of The Institution of Engineers (India): Series A,16,10.1007/s40030-020-00500-1,Net-Zero / Zero-Energy Buildings,None mentioned,Rooftop PV,"In this scenario, net zero energy building design is one of the solutions to combat global warming by reducing energy demand and simultaneously use of renewable energy to run the operations of the building. | In this paper, the focus is given on net zero energy building design criteria for composite climate zone. | The technical parameters of planning, orientation, envelope, heating ventilation and air-conditioning (HVAC), use of energy efficient materials and integration of renewable energy system in designing the net zero energy building were analyzed and evaluated. | The net zero energy balance equation was established from the building design strategies by evaluating the total annual energy demand, reduction in annual energy consumption implementing energy efficient technologies and annual renewable energy generation under the boundary of the building."
2-s2.0-85145167962,Comparative Study of Energy Efficiency Criteria for IGBC and GRIHA Systems Using Simulation,2023,Journal of The Institution of Engineers (India): Series A,5,10.1007/s40030-022-00687-5,GBRS Comparative Analysis,IGBC; GRIHA,Not specified,"It was discovered that an improvement made based on envelope condition, the efficiency of the HVAC system considered in this study, and assigning renewable energy gives higher energy performance under IGBC Green Homes, with the possibility of achieving full credit points, but the combinations discussed did not give the full credit points for GRIHA. | GRIHA, in particular, requires a significant reduction in HVAC load to receive full credit. | GRIHA requires more renewable energy allocation than IGBC GH because renewable energy for achieving credit points is a percentage of HVAC, lighting, and domestic hot water consumption, whereas IGBC GH is a percentage of common area lighting consumption."
2-s2.0-85041547455,Assessing the nearly zero-energy building gap in university campuses with a feature extraction methodology applied to a case study in Spain,2018,International Journal of Energy and Environmental Engineering,19,10.1007/s40095-018-0264-x,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,Public universities face the challenge of retrofitting the actual campus buildings into nearly zero-energy buildings (NZEB).
2-s2.0-85051632338,Importance of buildings and their influence in control system: a simulation case study with different building standards from Germany,2018,International Journal of Energy and Environmental Engineering,14,10.1007/s40095-018-0281-9,Policy / Regulation,Passive House,Not specified,
2-s2.0-85196852806,Measuring Circularity in Life Cycle Management: A Literature Review,2024,Global Journal of Flexible Systems Management,14,10.1007/s40171-024-00402-2,Other,None mentioned,Not specified,"We adopt a conceptual model of sustainable and circular life cycle management based on specific performance indicators that allow the environmental, social, and economic impact of processes to be assessed throughout the life cycle of products or services. | The implementation of Sustainable and Circular Life Cycle Management from a managerial perspective could support firms to eradicate and quantify waste, preserve the inherent value of products and materials, encourage the adoption of renewable energies, and eliminate harmful chemicals."
2-s2.0-85099819141,Net Zero Energy in a Residential Building Using Heuristic Optimization Solution,2021,"Journal of Control, Automation and Electrical Systems",12,10.1007/s40313-020-00685-7,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,Global energy crisis exacerbated by climate change has motivated the design and construction of energy-efficient Net Zero Energy Buildings (NZEB). | This paper proposes an energy management strategy for grid-connected Net Zero Energy Buildings that help to achieve a net zero balance of energy in Electrical Grid Photovoltaic-connected NZEB homes. | The proposed net zero energy concept is validated using DE and Genetic Algorithm (GA)-based optimization techniques.
2-s2.0-85190808097,Recent Progress in High-Efficiency Transparent Vacuum Insulation Technologies for Carbon Neutrality,2024,International Journal of Precision Engineering and Manufacturing - Green Technology,11,10.1007/s40684-024-00623-x,Other,Passive House,Not specified,"The study calls for further research and standardization in VIG production to overcome current technical and economic barriers, paving the way for its wider adoption and realizing next-generation energy-efficient building materials. | However, the adoption of VIG is challenged by economic factors, with costs significantly higher than standard IGUs and triple-glazed windows meeting passive house standards."
2-s2.0-86000329987,Net-zero energy communities at Local Climate Zones: integrating photovoltaics and energy sharing for a social housing neighborhood,2025,"Energy, Ecology and Environment",12,10.1007/s40974-025-00354-y,BIPV Technical Performance,None mentioned,Generic PV / BAPV,This study investigates the integration of building-integrated photovoltaics and energy-sharing mechanisms to achieve net-zero energy communities in low-income urban neighborhoods. | Policy incentives and further research are recommended to promote cost-effective energy-sharing models in similar contexts.
2-s2.0-105033443140,Performance Enhancement of Pyramid Solar Still Using Black Granite Gravels and Coarse Sand: A 3E and ES Comparative Analyses with SWH and PV Integrations,2026,Water Conservation Science and Engineering,0,10.1007/s41101-026-00498-w,BIPV Economics / LCA,None mentioned,Not specified,"This study presents a comprehensive 3E and ES (Energy, Exergy, Economic, Environmental, and Sustainability) assessment of a Pyramid Solar Still (PSS) integrated with a Solar Water Heater (PSS-SWH) and a Photovoltaic System (PSS-PVS) across six configurations (Case I–VI) for 2 cm water depth."
2-s2.0-105024082409,The impact of sustainability features on apartment market value: evidence from Prague,2026,Euro-Mediterranean Journal for Environmental Integration,0,10.1007/s41207-025-00978-w,GBRS Comparative Analysis,LEED,Not specified,
2-s2.0-85191035953,Comparative Study on Energy Yield of Tunnel Oxide Passivated Contact (TOPCon) and Passivated Emitter and Rear Contact (PERC) Solar Cells and Analysis of Optimal Installation Method for Vertical Photovoltaics,2024,Process Integration and Optimization for Sustainability,9,10.1007/s41660-024-00408-4,BIPV Technical Performance,None mentioned,Rooftop PV,
2-s2.0-105003658732,Repurposing of Electric Vehicle Batteries for Second Life Stationary Applications in Residential Photovoltaic Systems: An Environmental and Economic Sustainability Assessment,2025,International Journal of Environmental Research,2,10.1007/s41742-025-00788-6,BIPV Economics / LCA,None mentioned,Generic PV / BAPV,"The increasing adoption of electric vehicles (EVs) raises concerns about battery sustainability, highlighting the need for efficient repurposing strategies. | Policy incentives, such as VAT reductions or CO₂ taxes, could further enhance competitiveness of circular business models and increase attractiveness to customers."
2-s2.0-85160949309,Sustainable development by carbon emission reduction and its quantification: an overview of current methods and best practices,2023,Asian Journal of Civil Engineering,28,10.1007/s42107-023-00732-z,GBRS Comparative Analysis,None mentioned,Not specified,
2-s2.0-85209729616,Integrating machine learning in digital architecture: enhancing sustainable design and energy efficiency in urban environments,2025,Asian Journal of Civil Engineering,5,10.1007/s42107-024-01224-4,Other,LEED,Not specified,
2-s2.0-105015086933,"Hybrid NSGA-III and multi-objective TLBO for post-Pareto optimization of energy, cost, and carbon in modular steel buildings toward net-zero compliance",2026,Asian Journal of Civil Engineering,0,10.1007/s42107-025-01524-3,Net-Zero / Zero-Energy Buildings,None mentioned,Window / Curtain Wall BIPV,"The research aims to support net-zero energy building (NZEB) compliance by identifying optimal design configurations that balance performance, cost, and sustainability. | The results underscore the potential of integrated metaheuristic techniques in advancing net-zero, resource-efficient modular construction in hot and dry climates."
2-s2.0-85129466803,How can the USA and China cooperate and learn from each other to reduce greenhouse gas emissions?,2022,Socio-Ecological Practice Research,1,10.1007/s42532-022-00112-y,Other,None mentioned,Generic PV / BAPV,"These exchanges can spur discussion and learning about new regulations, infrastructure, urban design, financial incentives, and technologies and how to adapt them to one’s own country."
2-s2.0-105030202973,Sustainable Business Models for Renewable Energy Communities: A Comprehensive Framework,2026,Circular Economy and Sustainability,0,10.1007/s43615-026-00726-4,Other,None mentioned,Not specified,
2-s2.0-105017825389,Architectural contributions to climate change mitigation in urban residential contexts through a global qualitative approach,2025,Discover Sustainability,0,10.1007/s43621-025-01791-9,Policy / Regulation,LEED,Not specified,
2-s2.0-105029676805,"Renewable energy, FDI, and trade openness for environmental sustainability in Bangladesh: insights from load capacity factor and Fourier functions",2026,Discover Sustainability,0,10.1007/s43621-025-01873-8,Policy / Regulation,None mentioned,Not specified,"The policy recommendations include expanding renewable energy infrastructure through incentives, implementing green investment regulations for foreign investors, and adopting environmentally conscious trade policies."
2-s2.0-105005806071,Integration between EarthTube and renewable energy to Achieve Net-Zero energy schools in Riyadh,2025,Journal of Umm Al-Qura University for Engineering and Architecture,1,10.1007/s43995-025-00140-1,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"The concept of net-zero energy buildings has emerged as an innovative strategy to mitigate the impacts of this crisis and support environmental conservation efforts. | To achieve a net-zero, a building must be capable of generating at least a portion of its own energy through renewable sources such as solar energy, which is the most common and often easiest to integrate. | The research adopts a descriptive analytical approach, including a comprehensive review of the literature, followed by an analytical study examining international schools that have implemented zero-energy strategies in climates similar to Riyadh's hot environment. | The study recommends the establishment of a central committee under the Ministry of Education to oversee the transition toward net-zero energy schools, including updating standard school design specifications to integrate energy efficiency and eliminate unnecessary energy loads."
2-s2.0-105005274901,Direct air capture-assisted sustainable fuel solution in maritime sector: a carbon footprint perspective,2025,Carbon Research,4,10.1007/s44246-025-00209-5,Other,None mentioned,Not specified,Adopting renewable carbon fuels presents a potent strategy.
2-s2.0-85107701709,Approaches to cost-effective near-net zero energy new homes with time-of-use value of energy and battery storage,2021,Advances in Applied Energy,77,10.1016/j.adapen.2021.100018,Policy / Regulation,None mentioned,Rooftop PV,California requires all new residential buildings to meet near-net zero energy building (near-NZEB) targets in its building energy efficiency standards (Title 24) starting January 2020. | The methodology and models can be adopted for other U.S. | states or international cities to inform policy making and design of near-net zero energy residential buildings.
2-s2.0-84901295725,Performance of skylight illuminance inside a dome shaped adobe house under composite climate at New Delhi (India): A typical zero energy passive house,2014,Alexandria Engineering Journal,14,10.1016/j.aej.2014.01.006,Other,Passive House,Not specified,
2-s2.0-85045659605,Renewable energy technologies for sustainable development of energy efficient building,2018,Alexandria Engineering Journal,377,10.1016/j.aej.2017.02.027,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85093679116,Performance investigation of zero-building-integrated photovoltaic roof system: A case study in Egypt,2020,Alexandria Engineering Journal,21,10.1016/j.aej.2020.09.031,BIPV Technical Performance,None mentioned,Generic PV / BAPV,
2-s2.0-85149718461,Investigating energy efficiency and solar energy in Saudi mosques to achieve zero energy or zero bill,2023,Alexandria Engineering Journal,10,10.1016/j.aej.2023.01.030,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,
2-s2.0-75449117158,Novel heating and cooling concept employing rainwater cisterns and thermo-active building systems for a residential building,2010,Applied Energy,30,10.1016/j.apenergy.2009.06.002,BIPV Technical Performance,Passive House,Not specified,"The building strives for a significantly reduced primary energy use with carefully coordinated measures, such as high quality building envelope, by means of vacuum insulated panels, supply and exhaust air system with heat recovery, reduced solar heat gains (solar shading), and the integration of thermal solar collectors and photovoltaic in the plant system."
2-s2.0-78149358095,Energy analysis of an improved concept of integrated PV panels in an office building in central Greece,2011,Applied Energy,91,10.1016/j.apenergy.2010.08.023,BIPV Technical Performance,None mentioned,Façade BIPV,"The PV modules are integrated to the building wall by means of a double façade, which employs intervening ducts for ventilation purposes."
2-s2.0-80055055606,Optimum design of shading-type building-integrated photovoltaic claddings with different surface azimuth angles,2012,Applied Energy,152,10.1016/j.apenergy.2011.01.062,BIPV Technical Performance,None mentioned,Shading BIPV,
2-s2.0-84861658486,Assessing electrical bottlenecks at feeder level for residential net zero-energy buildings by integrated system simulation,2012,Applied Energy,200,10.1016/j.apenergy.2011.12.098,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,
2-s2.0-84857996059,Towards net zero energy design for low-rise residential buildings in subtropical Hong Kong,2012,Applied Energy,109,10.1016/j.apenergy.2012.01.006,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Nevertheless, one group of the feasible places for implementing the net zero energy (NZE) design is the low-rise residential buildings in Hong Kong."
2-s2.0-84884203827,Low-energy buildings and seasonal thermal energy storages from a behavioral economics perspective,2013,Applied Energy,40,10.1016/j.apenergy.2013.03.047,BIPV Economics / LCA,Passive House,Not specified,"Although high efficiencies are to expect with seasonal thermal energy storages, high up-front costs are likely to constitute an efficient market barrier, impeding the growth of this technology."
2-s2.0-84901391161,Building energy performance evaluation of building integrated photovoltaic (BIPV) window with semi-transparent solar cells,2014,Applied Energy,260,10.1016/j.apenergy.2014.04.106,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,This study evaluates the effects of electrical and optical parameters of building integrated photovoltaic (BIPV) windows with a semi-transparent solar cell on the overall energy performance of a typical mid-sized commercial building in various climate conditions.
2-s2.0-84905496826,Optimizing Distributed Energy Resources and building retrofits with the strategic DER-CAModel,2014,Applied Energy,158,10.1016/j.apenergy.2014.07.041,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Overall, this initiative results from the realization that buildings will have a significant impact in fulfilling the 20/20/20-goals of reducing the greenhouse gas emissions by 20%, increasing energy efficiency by 20%, and increasing the share of renewables to 20%, all by 2020.The Distributed Energy Resources Customer Adoption Model (DER-CAM) is an optimization tool used to support DER investment decisions, typically by minimizing total annual costs or CO2 emissions while providing energy services to a given building or microgrid site."
2-s2.0-84910073220,Power utility generation portfolio optimization as function of specific RES and decarbonisation targets - EPBiH case study,2014,Applied Energy,25,10.1016/j.apenergy.2014.09.001,Other,None mentioned,Not specified,
2-s2.0-84907707782,Analysis of load match and grid interaction indicators in net zero energy buildings with simulated and monitored data,2014,Applied Energy,228,10.1016/j.apenergy.2014.09.018,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"The main objective of this paper is to contribute to the discussion on the role of Net Zero Energy Buildings (Net ZEBs) on future energy systems by the interplay between on-site generation and the building loads, often called load matching, and the resulting import/export interaction with the surrounding electricity grid, commonly named grid interaction. | The dimensioning rate and the connection capacity credit relate the building with the electrical grid."
2-s2.0-84921057112,Benchmarking sustainability of Indian electricity system: An indicator approach,2015,Applied Energy,42,10.1016/j.apenergy.2014.12.037,Other,None mentioned,Not specified,
2-s2.0-84925424832,Net energy analysis of a solar combi system with Seasonal Thermal Energy Store,2015,Applied Energy,53,10.1016/j.apenergy.2015.02.088,Net-Zero / Zero-Energy Buildings,Passive House,Generic PV / BAPV,
2-s2.0-84952893554,Achieving annual and monthly net-zero energy of existing building in hot climate,2016,Applied Energy,98,10.1016/j.apenergy.2015.11.073,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,This paper demonstrates the possibility of converting a public building from inefficient energy consumer into a net-zero energy building (NZEB). | This task is achieved through cost effective energy efficient measures (EEMs) and integration of solar energy systems.
2-s2.0-84952684966,Numerical investigation of the energy saving potential of a semi-transparent photovoltaic double-skin facade in a cool-summer Mediterranean climate,2016,Applied Energy,243,10.1016/j.apenergy.2015.12.074,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"If high efficiency cadmium telluride (CdTe) semi-transparent PV modules are adopted, the annual energy output could be even doubled."
2-s2.0-84962738674,Energy performance of ETFE cushion roof integrated photovoltaic/thermal system on hot and cold days,2016,Applied Energy,68,10.1016/j.apenergy.2016.03.111,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"This paper concerns energy performance of ETFE (ethylene tetrafluoroethylene) cushion roof integrated photovoltaic/thermal system (CIPV/T system). | It is found that average total and net electricity were 54.5 W h and 42.9 W h, indicating that this integration ensures the CIPVT system to be independent on external electricity."
2-s2.0-84971434549,"The operational performance of ""net zero energy building"": A study in China",2016,Applied Energy,130,10.1016/j.apenergy.2016.05.093,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"There is no lack of studies on ""net zero energy buildings"" (""nZEB""). | The actual operational performance of ""net zero energy building"" during occupation has been largely overlooked by previous studies. | Therefore, during the design process of ""net zero energy buildings"", it is imperative to ensure that the energy simulation accurately reflects how the building will actually operate once occupied. | The research also revealed other barriers to the design and implementation of ""nZEB"" in China, such as extra efforts required for effective communicating the capacity of the HVAC design and systems to clients, and the increased cost of ""nZEB"" (e.g."
2-s2.0-84973866785,Toward an integrated assessment of the performance of photovoltaic power stations for electricity generation,2017,Applied Energy,67,10.1016/j.apenergy.2016.05.102,BIPV Technical Performance,None mentioned,Generic PV / BAPV,The adopted scheme aims to overcome limitations of conventional indicators such as EROI (Energy Return on Investment) and EPBT (Energy Payback Time) and to present a more comprehensive description of energy and material transformations.
2-s2.0-85029298751,Development of a method for estimating the rooftop solar photovoltaic (PV) potential by analyzing the available rooftop area using Hillshade analysis,2017,Applied Energy,190,10.1016/j.apenergy.2016.07.001,Urban Solar Potential,None mentioned,Shading BIPV,
2-s2.0-84978785900,A hybrid Genetic Algorithm and Monte Carlo simulation approach to predict hourly energy consumption and generation by a cluster of Net Zero Energy Buildings,2016,Applied Energy,68,10.1016/j.apenergy.2016.07.033,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Employing a hybrid Genetic Algorithm (GA) and Monte Carlo (MC) simulation approach, energy consumption and renewable energy generation in a cluster of Net Zero Energy Buildings (NZEBs) was thoroughly investigated with hourly simulation."
2-s2.0-84988583513,Cost-optimal energy performance renovation measures of educational buildings in cold climate,2016,Applied Energy,93,10.1016/j.apenergy.2016.09.044,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-84996549058,Robust optimal design of renewable energy system in nearly/net zero energy buildings under uncertainties,2017,Applied Energy,104,10.1016/j.apenergy.2016.11.042,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,Most existing studies on design optimization of net zero energy building (nZEB) are conducted based on deterministic data/information.
2-s2.0-85014759495,Building integration of semitransparent perovskite-based solar cells: Energy performance and visual comfort assessment,2017,Applied Energy,97,10.1016/j.apenergy.2017.03.011,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"This study presents a prediction of the yearly energy production and visual comfort benefits deriving from the adoption of building integrated semitransparent photovoltaic windows. | Finally, we compared the annual energy production of building integrated photovoltaic cells to the annual use of electric energy for artificial lighting, finding that in most of the cases the annual energy production overcomes the amount of electric energy used for artificial lighting."
2-s2.0-85014843026,Comparison of energy performance between PV double skin facades and PV insulating glass units,2017,Applied Energy,213,10.1016/j.apenergy.2017.03.019,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Building-integrated photovoltaic (BIPV) windows provide the benefits of generating electricity, reducing building cooling and heating energy consumption, and efficiently utilizing daylight simultaneously. | However, if an appropriate ventilation control scheme was adopted, PV-DSF can have a much better performance than the PV-IGU."
2-s2.0-85020266180,Optimising building net energy demand with dynamic BIPV shading,2017,Applied Energy,164,10.1016/j.apenergy.2017.05.083,BIPV Technical Performance,None mentioned,Shading BIPV,
2-s2.0-85028612797,Life cycle sustainability assessment of grid-connected photovoltaic power generation: A case study of Northeast England,2018,Applied Energy,70,10.1016/j.apenergy.2017.07.021,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-85032896108,Assessing active and passive effects of façade building integrated photovoltaics/thermal systems: Dynamic modelling and simulation,2018,Applied Energy,131,10.1016/j.apenergy.2017.09.039,BIPV Technical Performance,None mentioned,Façade BIPV,"Simulation results show that by using building integrated air open-loop photovoltaic thermal systems, an interesting percentage reduction of the heating demand can be obtained."
2-s2.0-85038865645,Building-group-level performance evaluations of net zero energy buildings with non-collaborative controls,2018,Applied Energy,58,10.1016/j.apenergy.2017.11.076,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,Net zero energy building (NZEB) is widely considered an effective solution to the increasing energy and environmental problems.
2-s2.0-85041671799,Integrated energy performance optimization of a passively designed high-rise residential building in different climatic zones of China,2018,Applied Energy,88,10.1016/j.apenergy.2018.01.099,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85041996483,"Integrating a hydrogen fuel cell electric vehicle with vehicle-to-grid technology, photovoltaic power and a residential building",2018,Applied Energy,254,10.1016/j.apenergy.2018.02.038,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"This paper presents the results of a demonstration project, including building-integrated photovoltaic (BIPV) solar panels, a residential building and a hydrogen fuel cell electric vehicle (FCEV) for combined mobility and power generation, aiming to achieve a net zero-energy residential building target. | The results show that utilizing an FCEV working in V2G mode can reduce the annual imported electricity from the grid by approximately 71% over one year, and aiding the buildings in the microgrid to achieve a net zero-energy building target."
2-s2.0-85049489373,Response-surface-model-based system sizing for Nearly/Net zero energy buildings under uncertainty,2018,Applied Energy,66,10.1016/j.apenergy.2018.06.156,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,Properly treating uncertainty is critical for robust system sizing of nearly/net zero energy buildings (ZEBs).
2-s2.0-85051833307,Optimization of deterministic controls for a cooling radiant wall coupled to a PV array,2018,Applied Energy,18,10.1016/j.apenergy.2018.08.035,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Furthermore, the “solar” control concepts were found to help achieving the goals of net-zero energy buildings by maximising self-consumption of renewable energies in the building, as well as reducing the total imported/exported energy."
2-s2.0-85055638683,Energy flexibility of a nearly zero-energy building with weather predictive control on a convective building energy system and evaluated with different metrics,2019,Applied Energy,69,10.1016/j.apenergy.2018.10.070,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85055903005,Impact of introducing penalty-cost on optimal design of renewable energy systems for net zero energy buildings,2019,Applied Energy,28,10.1016/j.apenergy.2018.10.112,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"It is well known that the high cost of installing renewable energy systems (RES) is still a barrier to overcome in the promotion of net-zero energy buildings (NZEB). | This study, therefore, introduces a penalty cost in the RES design process for NZEB, which aims to ensure that the cost-effective design option is the system which provides for a net-zero/positive energy building."
2-s2.0-85055910329,A clustering based grouping method of nearly zero energy buildings for performance improvements,2019,Applied Energy,53,10.1016/j.apenergy.2018.10.116,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85059678066,Economic evaluation of Nearly Zero Energy Cities,2019,Applied Energy,31,10.1016/j.apenergy.2018.12.082,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,
2-s2.0-85059803104,Northern European nearly zero energy building concepts for apartment buildings using integrated solar technologies and dynamic occupancy profile: Focus on Finland and other Northern European countries,2019,Applied Energy,67,10.1016/j.apenergy.2019.01.029,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Particularly, different building design principles and use of building integrated solar technologies have been considered. | Indeed, many nearly zero energy building concepts can be achieved by adopting more energy performant building design principles and/or installing onsite solar technologies. | In Finland, nearly zero energy building concepts can be achieved by adopting the Finnish passive design principles without installing renewable energy systems onsite. | With regard to Sweden and Estonia, depending on the adopted building design principle and main heating source, different sizes of solar technologies should be installed onsite in order to meet nearly zero energy building requirements."
